Result of the experiment
Training Accuracy = 0.722299
Validation Accuracy = 0.702544
Testing Accuracy = 0.70019

During the 50-th epoch:
Training Accuracy = 0.805884
Validation Accuracy = 0.747554
Testing Accuracy = 0.727704

During the 100-th epoch:
Training Accuracy = 0.866373
Validation Accuracy = 0.753425
Testing Accuracy = 0.753321

During the 200-th epoch:
Training Accuracy = 0.918889
Validation Accuracy = 0.745597
Testing Accuracy = 0.780835

During the 300-th epoch:
Training Accuracy = 0.931262
Validation Accuracy = 0.726027
Testing Accuracy = 0.756167

During the 500-th epoch:
Training Accuracy = 0.818532
Validation Accuracy = 0.675147
Testing Accuracy = 0.687856

During the 700-th epoch:
Training Accuracy = 0.965906
Validation Accuracy = 0.774951
Testing Accuracy = 0.822581

During the 1000-th epoch:
Training Accuracy = 0.97278
Validation Accuracy = 0.792564
Testing Accuracy = 0.83112

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.796536
Validation Accuracy = 0.731898
Testing Accuracy = 0.790323

During the 20-th epoch:
Training Accuracy = 0.770965
Validation Accuracy = 0.692759
Testing Accuracy = 0.76186

During the 50-th epoch:
Training Accuracy = 0.79791
Validation Accuracy = 0.665362
Testing Accuracy = 0.733397

During the 100-th epoch:
Training Accuracy = 0.905142
Validation Accuracy = 0.767123
Testing Accuracy = 0.816888

During the 200-th epoch:
Training Accuracy = 0.910366
Validation Accuracy = 0.726027
Testing Accuracy = 0.794118

During the 300-th epoch:
Training Accuracy = 0.931262
Validation Accuracy = 0.790607
Testing Accuracy = 0.809298

During the 500-th epoch:
Training Accuracy = 0.924663
Validation Accuracy = 0.866928
Testing Accuracy = 0.863378

During the 700-th epoch:
Training Accuracy = 0.950784
Validation Accuracy = 0.827789
Testing Accuracy = 0.843454

During the 1000-th epoch:
Training Accuracy = 0.953808
Validation Accuracy = 0.853229
Testing Accuracy = 0.845351

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.4, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.719274
Validation Accuracy = 0.712329
Testing Accuracy = 0.708729

During the 20-th epoch:
Training Accuracy = 0.857575
Validation Accuracy = 0.835616
Testing Accuracy = 0.824478

During the 50-th epoch:
Training Accuracy = 0.822656
Validation Accuracy = 0.74364
Testing Accuracy = 0.773245

During the 100-th epoch:
Training Accuracy = 0.889469
Validation Accuracy = 0.774951
Testing Accuracy = 0.798861

During the 200-th epoch:
Training Accuracy = 0.841353
Validation Accuracy = 0.665362
Testing Accuracy = 0.736243

During the 300-th epoch:
Training Accuracy = 0.869123
Validation Accuracy = 0.677104
Testing Accuracy = 0.731499

During the 500-th epoch:
Training Accuracy = 0.897168
Validation Accuracy = 0.735812
Testing Accuracy = 0.754269

During the 700-th epoch:
Training Accuracy = 0.921089
Validation Accuracy = 0.749511
Testing Accuracy = 0.790323

During the 1000-th epoch:
Training Accuracy = 0.872147
Validation Accuracy = 0.708415
Testing Accuracy = 0.73055

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.805334
Validation Accuracy = 0.794521
Testing Accuracy = 0.795066

During the 20-th epoch:
Training Accuracy = 0.821831
Validation Accuracy = 0.767123
Testing Accuracy = 0.791271

During the 50-th epoch:
Training Accuracy = 0.825406
Validation Accuracy = 0.745597
Testing Accuracy = 0.78463

During the 100-th epoch:
Training Accuracy = 0.899093
Validation Accuracy = 0.798434
Testing Accuracy = 0.803605

During the 200-th epoch:
Training Accuracy = 0.832554
Validation Accuracy = 0.634051
Testing Accuracy = 0.709677

During the 300-th epoch:
Training Accuracy = 0.928512
Validation Accuracy = 0.733855
Testing Accuracy = 0.774194

During the 500-th epoch:
Training Accuracy = 0.950509
Validation Accuracy = 0.821918
Testing Accuracy = 0.836812

During the 700-th epoch:
Training Accuracy = 0.935936
Validation Accuracy = 0.835616
Testing Accuracy = 0.845351

During the 1000-th epoch:
Training Accuracy = 0.957107
Validation Accuracy = 0.800391
Testing Accuracy = 0.834915

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.857025
Validation Accuracy = 0.816047
Testing Accuracy = 0.824478

During the 20-th epoch:
Training Accuracy = 0.85455
Validation Accuracy = 0.806262
Testing Accuracy = 0.812144

During the 50-th epoch:
Training Accuracy = 0.863074
Validation Accuracy = 0.792564
Testing Accuracy = 0.791271

During the 100-th epoch:
Training Accuracy = 0.830355
Validation Accuracy = 0.731898
Testing Accuracy = 0.740038

During the 200-th epoch:
Training Accuracy = 0.917239
Validation Accuracy = 0.751468
Testing Accuracy = 0.749526

During the 300-th epoch:
Training Accuracy = 0.956008
Validation Accuracy = 0.810176
Testing Accuracy = 0.802657

During the 500-th epoch:
Training Accuracy = 0.924113
Validation Accuracy = 0.747554
Testing Accuracy = 0.753321

During the 700-th epoch:
Training Accuracy = 0.94171
Validation Accuracy = 0.780822
Testing Accuracy = 0.814042

During the 1000-th epoch:
Training Accuracy = 0.974429
Validation Accuracy = 0.81409
Testing Accuracy = 0.819734

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.5, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.781413
Validation Accuracy = 0.745597
Testing Accuracy = 0.775142

During the 20-th epoch:
Training Accuracy = 0.834479
Validation Accuracy = 0.798434
Testing Accuracy = 0.800759

During the 50-th epoch:
Training Accuracy = 0.862799
Validation Accuracy = 0.778865
Testing Accuracy = 0.778937

During the 100-th epoch:
Training Accuracy = 0.82953
Validation Accuracy = 0.72407
Testing Accuracy = 0.731499

During the 200-th epoch:
Training Accuracy = 0.8573
Validation Accuracy = 0.72407
Testing Accuracy = 0.733397

During the 300-th epoch:
Training Accuracy = 0.944735
Validation Accuracy = 0.78865
Testing Accuracy = 0.757116

During the 500-th epoch:
Training Accuracy = 0.935111
Validation Accuracy = 0.823875
Testing Accuracy = 0.78463

During the 700-th epoch:
Training Accuracy = 0.981028
Validation Accuracy = 0.792564
Testing Accuracy = 0.785579

During the 1000-th epoch:
Training Accuracy = 0.957932
Validation Accuracy = 0.837573
Testing Accuracy = 0.816888

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.1

During the 10-th epoch:
Training Accuracy = 0.842727
Validation Accuracy = 0.798434
Testing Accuracy = 0.79222

During the 20-th epoch:
Training Accuracy = 0.827055
Validation Accuracy = 0.749511
Testing Accuracy = 0.780835

During the 50-th epoch:
Training Accuracy = 0.833104
Validation Accuracy = 0.729941
Testing Accuracy = 0.753321

During the 100-th epoch:
Training Accuracy = 0.918339
Validation Accuracy = 0.829746
Testing Accuracy = 0.835863

During the 200-th epoch:
Training Accuracy = 0.934561
Validation Accuracy = 0.810176
Testing Accuracy = 0.806452

During the 300-th epoch:
Training Accuracy = 0.918064
Validation Accuracy = 0.853229
Testing Accuracy = 0.837761

During the 500-th epoch:
Training Accuracy = 0.954358
Validation Accuracy = 0.812133
Testing Accuracy = 0.816888

During the 700-th epoch:
Training Accuracy = 0.963706
Validation Accuracy = 0.810176
Testing Accuracy = 0.832068

During the 1000-th epoch:
Training Accuracy = 0.929062
Validation Accuracy = 0.870841
Testing Accuracy = 0.867173

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.01

During the 10-th epoch:
Training Accuracy = 0.850151
Validation Accuracy = 0.804305
Testing Accuracy = 0.833966

During the 20-th epoch:
Training Accuracy = 0.878471
Validation Accuracy = 0.8591
Testing Accuracy = 0.859583

During the 50-th epoch:
Training Accuracy = 0.852076
Validation Accuracy = 0.727984
Testing Accuracy = 0.764706

During the 100-th epoch:
Training Accuracy = 0.898818
Validation Accuracy = 0.786693
Testing Accuracy = 0.798861

During the 200-th epoch:
Training Accuracy = 0.945559
Validation Accuracy = 0.774951
Testing Accuracy = 0.796964

During the 300-th epoch:
Training Accuracy = 0.935386
Validation Accuracy = 0.782779
Testing Accuracy = 0.814042

During the 500-th epoch:
Training Accuracy = 0.960957
Validation Accuracy = 0.804305
Testing Accuracy = 0.830171

During the 700-th epoch:
Training Accuracy = 0.967556
Validation Accuracy = 0.819961
Testing Accuracy = 0.829222

During the 1000-th epoch:
Training Accuracy = 0.968105
Validation Accuracy = 0.802348
Testing Accuracy = 0.811195

setting up the experiment with
batch size = 128, hidden nodes = 128, learning rate = 0.0001
training epoch = 1000, dropout rate = 0.7, reg_param = 0.001

During the 10-th epoch:
Training Accuracy = 0.767941
Validation Accuracy = 0.735812
Testing Accuracy = 0.748577

During the 20-th epoch:
Training Accuracy = 0.794061
Validation Accuracy = 0.700587
Testing Accuracy = 0.737192

During the 50-th epoch:
Training Accuracy = 0.88562
Validation Accuracy = 0.837573
Testing Accuracy = 0.824478

During the 100-th epoch:
Training Accuracy = 0.905692
Validation Accuracy = 0.798434
Testing Accuracy = 0.804554

During the 200-th epoch:
Training Accuracy = 0.880396
Validation Accuracy = 0.753425
Testing Accuracy = 0.791271

During the 300-th epoch:
Training Accuracy = 0.912015
Validation Accuracy = 0.733855
Testing Accuracy = 0.765655

During the 500-th epoch:
Training Accuracy = 0.931262
Validation Accuracy = 0.753425
Testing Accuracy = 0.743833

During the 700-th epoch:
Training Accuracy = 0.962331
Validation Accuracy = 0.810176
Testing Accuracy = 0.798862

During the 1000-th epoch:
Training Accuracy = 0.901017
Validation Accuracy = 0.798434
Testing Accuracy = 0.804554

